# Accelerometer Data File
# Started @Wed Oct 14 09:10:04 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSL Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.66 5.822 8.509 0
-0.679 5.837 8.49 2
-0.694 5.844 8.427 2
-0.701 5.875 8.403 2
-0.713 5.88 8.387 2
-0.72 5.882 8.348 2
-0.723 5.885 8.341 2
-0.725 5.899 8.332 2
-0.713 5.911 8.322 2
-0.706 5.928 8.312 2
-0.713 5.94 8.308 2
-0.699 5.952 8.26 2
-0.701 5.954 8.231 2
-0.696 5.952 8.197 2
-0.672 5.971 8.174 2
-0.656 5.985 8.164 2
-0.624 6.0 8.126 2
-0.61 6.0 8.102 2
-0.608 6.0 8.092 2
-0.596 6.002 8.08 2
-0.581 6.002 8.09 2
-0.572 5.997 8.095 2
-0.577 5.99 8.114 2
-0.574 5.971 8.128 2
-0.565 5.942 8.176 2
-0.557 5.935 8.209 2
-0.553 5.933 8.229 2
-0.586 5.892 8.274 2
-0.62 5.856 8.303 2
-0.632 5.846 8.327 2
-0.644 5.827 8.36 2
-0.658 5.806 8.399 2
-0.672 5.772 8.447 2
-0.679 5.734 8.49 2
-0.677 5.722 8.509 2
-0.67 5.679 8.557 2
-0.689 5.648 8.621 2
-0.701 5.624 8.667 2
-0.703 5.597 8.686 2
-0.691 5.573 8.753 2
-0.687 5.554 8.772 2
-0.706 5.518 8.791 2
-0.703 5.497 8.806 2
-0.708 5.473 8.813 2
-0.689 5.446 8.844 2
-0.668 5.425 8.851 2
-0.653 5.389 8.887 2
-0.653 5.351 8.901 2
-0.641 5.329 8.916 2
-0.61 5.308 8.918 2
-0.579 5.269 8.928 2
-0.579 5.257 8.93 2
-0.567 5.229 8.949 2
-0.553 5.205 8.935 2
-0.555 5.195 8.937 2
-0.531 5.164 8.956 2
-0.517 5.145 8.964 2
-0.5 5.111 8.968 2
-0.49 5.056 8.98 2
-0.476 5.042 8.968 2
-0.452 5.011 8.94 2
-0.471 4.982 8.923 2
-0.466 4.965 8.916 2
-0.464 4.941 8.921 2
-0.469 4.92 8.928 2
-0.464 4.905 8.937 2
-0.471 4.896 8.93 2
-0.464 4.872 8.911 2
-0.464 4.872 8.911 2
-0.464 4.874 8.885 2
-0.466 4.867 8.873 2
-0.462 4.879 8.861 2
-0.476 4.881 8.844 2
-0.474 4.877 8.837 2
-0.474 4.884 8.858 2
-0.462 4.886 8.837 2
-0.466 4.898 8.822 2
-0.466 4.915 8.784 2
-0.462 4.944 8.751 2
-0.452 4.958 8.734 2
-0.435 4.977 8.71 2
-0.435 4.987 8.698 2
-0.423 5.001 8.674 2
-0.433 4.992 8.669 2
-0.428 4.996 8.662 2
-0.411 4.992 8.66 2
-0.409 4.984 8.652 2
